    xe         ye         ze        pxe        pye        pze
2.43109536 0.38558435 88.10211182 0.01483936 0.09222560 0.01813062
2.46110749 0.28004527 88.21173859 -0.04160604 0.01312598 0.05317985
2.47098613 0.30703199 88.32191467 -0.09470379 -0.15011519 0.06443703
1.87743652 0.48763299 88.22582245 0.03590327 0.13742675 0.02428010
2.40992093 0.38888982 88.40621185 0.01188409 0.10227620 0.09031352
1.97956562 0.58474523 88.47865295 -0.04475044 0.05199035 0.14816904
2.37142920 0.07858349 88.18796539 -0.00127692 0.03504600 0.03776420
2.43411827 0.41002083 88.32689667 -0.15226585 -0.00622854 0.15035014
2.49693155 0.57494098 88.14160156 0.04663972 0.04777309 0.06436046
1.89938927 0.27806687 88.13377380 0.06871640 0.16269502 0.03305473
1.99989784 0.09890055 88.16159058 0.02500588 0.01315005 0.08738868
2.31217766 0.12723449 88.23081207 -0.00748127 0.11399934 0.00186992
2.18447852 0.04233746 88.37675476 -0.02512616 0.08006481 0.03706633
2.22575450 0.03263476 88.02482605 -0.00007007 -0.09624655 0.04220075
2.11680865 0.01934719 88.48438263 -0.02853144 0.07131515 0.03543361
2.31765938 0.00088024 88.23026276 0.00009898 0.01663892 -0.08313778
2.16247535 0.24843174 88.03002167 0.04873203 0.07141296 0.14870219
2.40027189 0.04544541 88.00431061 -0.01329071 0.04001906 0.08906563
2.78283143 0.16218477 88.46266937 0.00726852 -0.12916383 0.01452692
2.84235549 0.24739994 88.08782959 0.03297009 -0.02498633 0.00092083
2.69310403 0.36461067 88.17813110 0.05555379 -0.11023506 -0.01437500
2.73763776 0.31657884 88.13354492 -0.04100585 0.00322431 -0.04754050
2.93516898 0.21963309 88.03846741 -0.03345345 -0.06515650 -0.08772375
2.59661770 0.11697701 88.29142761 0.03645568 -0.02222697 -0.07091909
2.71421838 0.20589155 88.06229401 -0.00683472 -0.00989538 -0.06133694
3.01558137 0.52771896 88.23986053 -0.00945178 -0.03132575 -0.10096720
2.54710269 0.35667688 88.47959137 0.00597883 -0.09306265 -0.08822060
2.99347949 0.25823462 88.01305389 -0.05163594 -0.05625138 -0.15814048
2.75572515 0.31387681 88.28771210 -0.04434216 -0.01734973 -0.13428368
3.10073686 0.21103704 88.12574768 0.01907815 -0.08625600 -0.11768111
2.69935894 0.26955014 88.32707214 -0.08395919 -0.01172888 -0.02910257
2.84307456 0.54582298 88.01957703 -0.03001210 0.02452397 -0.11936219
2.81925464 0.29699641 88.36473846 0.01726812 -0.01938505 0.02418726
3.01424003 0.56113392 88.39675903 0.06207786 -0.00481002 0.01188796
2.94538879 0.05673157 88.23376465 0.02743205 -0.01681684 0.03016895
3.10138416 0.36635712 88.09328461 -0.17769007 0.01291392 -0.07416933
2.81752419 0.18697989 88.29541779 -0.11933581 -0.09431859 0.01267004
2.70757389 0.26900694 88.35157776 0.09360093 -0.01378637 0.04498536
2.58404446 0.15527515 88.45997620 -0.03895557 -0.02852954 0.06485604
2.63046527 0.35573423 88.39241028 -0.04720527 0.03091346 -0.02058768
2.97244263 0.47609949 88.18142700 -0.10300415 0.06256624 -0.02101531
2.67360020 0.37769377 88.34429169 0.01116769 0.06848772 0.01378656
2.79835224 0.35411575 88.17266083 -0.02051187 0.07644703 -0.00668434
2.54440808 0.59779835 88.27916718 -0.13436100 -0.01526378 0.05258507
2.52348113 0.13178828 88.21234131 0.04832436 0.03523105 0.00888007
2.74105096 0.13114163 88.20073700 0.04546025 0.03885155 0.04909892
2.69159222 0.20682694 88.14694214 0.05136685 0.07495684 0.04705954
2.88716316 0.08215927 88.35736847 -0.00032412 0.02515109 0.05732615
2.70778441 0.42039701 88.11637115 -0.02102788 0.00582707 0.04672933
2.96205068 0.15668735 88.21858215 -0.00150036 0.07712214 -0.07474239
2.50219226 0.21282168 88.09108734 -0.09482446 0.11705394 -0.01390944
2.98173189 0.56680846 88.24921417 -0.06907233 -0.04086269 0.14278437
2.61948323 0.53519523 88.26879883 -0.05700719 0.01094807 0.13495147
2.74133158 0.20555559 88.49230194 0.04090071 0.11839202 -0.05125348
2.55053854 0.22252658 88.46881104 -0.04962461 0.13965657 0.03188341
2.59493089 0.28796166 88.22577667 0.12094842 0.01615485 0.18116120
2.96583104 0.16829480 88.04562378 0.02346196 0.06121692 0.05038777
2.70026946 0.33147329 88.02123260 -0.12729391 -0.02597680 0.02728002
2.68228221 0.04983180 88.33437347 -0.07637958 0.14573550 0.05733342
2.69289327 0.49701390 88.05158997 0.08989974 -0.02249443 0.11437211
2.98066735 0.51337290 88.01351166 0.02393034 -0.11314326 0.08170581
3.47774029 0.46859929 88.10430908 0.02884371 -0.04635222 -0.03456819
3.48265553 0.43339252 88.33003998 0.03387732 -0.08429497 -0.00378102
3.15678191 0.11160613 88.33874512 0.00527847 -0.04087844 0.00575339
3.18517971 0.57971424 88.20438385 0.02757570 -0.08572195 -0.01074592
3.47005653 0.53177893 88.33276367 0.13845472 -0.13296393 -0.03070859
3.14364767 0.14158976 88.25369263 0.02938102 -0.04921027 -0.05333023
3.55823565 0.12773708 88.47017670 0.07789829 -0.04157170 -0.07126974
3.43451977 0.42081228 88.33898163 -0.00583354 -0.07589317 -0.08356370
3.63223791 0.21862563 88.41711426 0.05350917 -0.04597128 -0.12161870
3.70132565 0.24122041 88.05453491 0.14715357 -0.03377652 -0.06404553
3.17683983 0.05860670 88.36371613 0.09298620 -0.07142002 -0.07710975
3.43211818 0.58437341 88.42015839 0.17096975 -0.05544951 0.02646987
3.30411768 0.11247616 88.30511475 -0.04897946 -0.06835078 -0.02682661
3.73424268 0.18452324 88.30331421 -0.05276297 -0.04890696 0.00158851
3.35429668 0.57184500 88.19474030 -0.01634515 0.01933845 -0.09172826
3.37020850 0.33594507 88.44887543 0.11433917 -0.00412680 0.02545164
3.28185916 0.13830444 88.36167145 -0.09679959 -0.07237680 0.01563574
3.40305328 0.46327347 88.10370636 -0.00592840 0.03093810 -0.06168763
3.64462876 0.28391352 88.08821106 0.01291675 -0.01335759 0.00403326
3.34340882 0.13674819 88.12573242 0.06847845 0.01223514 0.00602221
3.14580917 0.49709168 88.48064423 -0.02921017 0.00889206 0.05748454
3.70008302 0.35773811 88.45446014 0.09632342 0.04479014 0.07784690
3.27235866 0.34153301 88.21396637 -0.01720685 0.05670621 -0.02500886
3.74723506 0.24557516 88.32563019 -0.05432792 -0.00358250 0.07360299
3.38513112 0.35437775 88.32392120 0.02044113 -0.08072268 0.07992562
3.74252152 0.50004971 88.15816498 0.07277527 -0.06750078 0.05470360
3.43895030 0.44992518 88.39059448 0.05076127 0.12055170 -0.02226842
3.48019481 0.40516353 88.42627716 -0.02181455 0.10510328 -0.00593931
3.18686652 0.17792183 88.29934692 -0.07672461 0.04156396 0.03952629
3.63520789 0.23747087 88.17517090 0.02412705 0.05333683 0.03434048
3.23117566 0.61195654 88.01964569 0.01573615 0.03799382 -0.00706479
3.51303840 0.33705142 88.30895996 0.06797759 0.03781564 0.09366017
3.18567371 0.23184811 88.03590393 0.01467642 -0.05525380 -0.00117181
3.44269109 0.36426789 88.17861176 0.04033324 0.09677936 0.05818257
3.21300578 0.30071461 88.13122559 0.10684720 0.09798416 -0.00023883
3.22933602 0.21251220 88.20981598 0.00250254 -0.07509220 0.06757366
3.20856071 0.26214582 88.08803558 0.13920021 -0.04085394 0.01920725
3.15359831 0.15985119 88.14617920 -0.07821675 -0.08968279 0.04750580
3.18045044 0.20411751 88.30030060 -0.06712030 0.07945344 0.08935501
3.31604815 0.10399318 88.16947937 0.08114341 0.03867628 -0.01948885
3.20322275 0.16444920 88.19165039 -0.07094825 0.06694865 -0.06862795
3.59700990 0.10791074 88.12944794 -0.01839474 -0.06024836 0.05951827
3.50058389 0.09967767 88.07032776 0.02986990 -0.05308607 0.04620789
3.26256156 0.18190686 88.14114380 -0.00603443 0.05510698 0.09940811
3.49783993 0.04374873 88.20967102 -0.02925647 0.03265984 0.01523139
3.69640589 0.37514436 88.09117889 -0.07531478 -0.12849629 0.09494157
3.61216664 0.14985022 88.15322113 -0.04614100 0.13008441 0.12750746
3.97922611 0.45363057 88.19608307 0.07384816 -0.05904835 -0.01517894
4.12390137 0.00944328 88.27575684 -0.02010753 -0.09936733 0.00600393
4.00961876 0.24544060 88.16262817 0.06882780 -0.11509394 -0.04156281
3.76902008 0.49085435 88.41931152 -0.01322990 -0.05918846 -0.01301294
4.09331656 0.59511346 88.00210571 0.12089426 -0.03180288 -0.13112208
3.89273214 0.03328045 88.24821472 0.02665321 -0.02303699 -0.11470486
4.05802822 0.32158500 88.36357117 0.13494928 -0.08065043 -0.06611875
4.17350054 0.58230001 88.22410583 -0.01421083 0.02088119 -0.11173314
4.29135227 0.58006257 88.39476776 -0.03970877 -0.03690830 -0.04144168
4.12512493 0.62152070 88.30780029 -0.04604907 -0.10198023 -0.03255714
4.37421560 0.54330951 88.21035767 -0.01000264 -0.05180551 0.02630732
4.01834822 0.25315508 88.11227417 -0.04525910 -0.02829172 -0.18711157
3.94745660 0.40040898 88.45940399 -0.04230600 -0.08594773 -0.00049067
4.17212677 0.46364167 88.19870758 -0.00687583 -0.03328169 0.02983742
4.31213284 0.11009644 88.18165588 -0.07761098 -0.05133601 -0.02398782
3.90652800 0.25004667 88.43373871 -0.08628958 -0.09537171 -0.12219550
4.30485678 0.56540179 88.10491180 -0.02807659 0.01948495 -0.00488301
4.19533491 0.31322798 88.33554840 0.11492928 -0.07097112 0.02041145
4.08939838 0.46959639 88.02877808 -0.07559644 0.00230809 -0.12812656
4.23630190 0.31250885 88.44683075 -0.08028302 -0.00649026 -0.02759859
3.98625827 0.05254653 88.11956787 -0.12179038 -0.12456049 -0.06240344
3.91432214 0.29267946 88.36862183 -0.10599490 -0.01032529 -0.03738759
4.37481356 0.26433399 88.36785126 -0.00208948 0.00495493 0.06418170
4.01104069 0.57424241 88.48640442 -0.01978692 -0.01613466 0.08900606
